Nalla English,E Narayanan Nambiar,240,190.00
Shutter (Screenplay),Joy Mathew,112,90.00
Maunathinte Sambalam Maranam,C R Parameswaran,238,185.00
Danube Saakshi,M P Veerendrakumar,462,400.00
Axel Muntheyude Ormakal,Axel Munthe,136,95.00
Viswaprasidha Pranayakathakal,Many Authors,166,120.00
Vihitham,Subhash Chandran,70,65.00
Pathrapravarthakanaya Gandhiji,Aby P Joy,104,75.00
Kitchen Manifesto,Punathil Kunjabdulla,102,90.00
Manushyan Enna Sahajeevi,Benyamin,84,80.00
Ente Makal Olichodum Munp,Susmesh Chandroth,112,85.00
Aarkkanu Bhranth?,M P Narayana Pillai,96,85.00
Cricket Varthamanangal,K Viswanath,135,95.00
Rathisamrajyam,Nalappattu Narayana Menon,543,350.00
Moideen Kanchanamala: Oru Apoorva Pranayajeevitham,P T Muhamed Sadik,151,170.00
Kalimannu,Blessy,104,75.00
Sahithyavum Charitravum: Dharanayude Sadhyathakal,Kesavan Veluthatt,159,110.00
Chandogyopaniṣhad,T Sivasankaran Nair,255,190.00
Daivam Snehamanu,Thikkodian,48,30.00
Maythil Kathakal,Meythil Radhakrishnan,423,380.00
Kochi Rajavinte Kasiyatra,Veera Kerala Varma Maharajavu,72,60.00
Swargathilekku Onnara Ticket,Jayasuryadas Nalappat,46,75.00
Malayala Achadi Madhyamam: Bhoothavum Varthamanavum,M Jayaraj,342,225.00
Ponmuttayidunna Tharavu,Raghunath Paleri,137,100.00
Paavam Paavam Rajakumaran,Sreenivasan,110,80.00
Kancheevaram (Old Edition),Priyadarsan,104,80.00
Bhagavathar: Oru Superstarinte Katha,B Sreeraj,184,130.00
Churam Kayarukayanu Irangukayanu,Arshad Bathery,110,95.00
Sreeramakrishna Sangha Sanyasimar Keralathil,Rajeev Irinjalakkuda,170,125.00
Vyloppilli,M N Vijayan,264,210.00
Ramayanam Quiz,Snehaj Srinivas,70,60.00
Himalayam: Yathrakalude Oru Pusthakam,Shoukath,254,200.00
Nandadevi: Mattoru Himalayam,K R Ajayan,96,65.00
Aadanum Paadanum Aangyapattukal,Bimalkumar Ramankari,64,75.00
Kudumba Doctor,"P M Madhu, Dr.",120,80.00
Maupassant: Paricharakante Ormakal,Francois Tassart,254,180.00
Soviet Naattile Baalakathakalum Nadodi Kathakalum (in 2 volumes),"K Srikumar, Dr.",2048,"2,250.00"
Jathaka Kathakal,Mangad Ratnakaran,55,45.00
Jeevithavijaya Mantrangal,Epictetus,160,100.00
Akkitham Kavithakal Sampoornam,Akkitham,1192,700.00
Dasadhyayi (Malayalam),"K H Namboodiripad
                            
                                            
                            ,                 
                                                      Thalakkulath Govinda Bhattathiri",815,525.00
Mookambika Darsanam,Sukesh P D,99,125.00
Agraharathile Poocha,Jayakanthan,192,130.00
Bhagavatham Kuttikalkku,Ashitha,215,165.00
Raveendrante Thirakkathakal,Raveendran,176,130.00
Kshetra Rahasyavum Devathakalum,Swami Nirmalanandagiri Maharaj,112,100.00
Oru Indian Communistinte Ormakkurippukal,"K Damodaran
                            
                                            
                            ,                 
                                                      Tariq Ali",80,65.00
Krishnapaksham,Kaithapram Damodaran Namboothiri,135,95.00
Vaishnavam,Vishnu Narayanan Namboodiri,1120,850.00
Samthrupthamaya Sthreepurusha Bandhangal,P K A Rasheed,199,150.00
Indiaye Thediyethiyavar,Anu Kumar,168,120.00
Osama bin Laden,B Sreeraj,174,120.00
Swarnam: Ariyendathellam,P P Pradosh,103,75.00
Malayaliyude Paramparyam,P Kunhiraman Nair,167,115.00
R M Manakkalath: Dhikkarathinte Vrathasudhi,Rosy Thampy,123,100.00
Nilaparvatham,Bibhutibhushan Bandopadhyay,112,80.00
Kalakarante Kumbasarangal,Charles Baudelaire,119,85.00
Balthazar (Malayalam),Lawrence Durrell,206,140.00
China Innu,Mathew John,327,230.00
Poojyam: Onnumillaymayude Syamasaundaryam,C P Muhammed,88,60.00
Pyramidukalude Naattil,K P Sudheera,128,90.00
Aathmavinte Agni,Osho,280,180.00
25 Tolstoy Kathakal,Leo Tolstoy,47,40.00
Kizhavan Goriot,"Balzac, Honore de",280,175.00
Kathabharatham,Many Authors,176,120.00
Oru Sakalitha Jeevitham,Swadesh Deepak,328,210.00
Kaivalya Navaneetham,Thandavamurthy Swami,142,100.00
Oru Malayali Bhranthante Diary,N Prabhakaran,94,75.00
Vamsananthara Thalamura,V R Sudheesh,95,70.00
Yogadarsanam Noottandukaliloode,P K Sreedharan,248,175.00
Varikalkkappuram,Kuldip Nayar,510,350.00
Gopikrishnante Cartoonukal,Gopikrishnan (Cartoonist),327,425.00
Aa Vaakkinte Artham,S Jayachandran Nair,112,85.00
Thathagatham,Satchidanandan,93,75.00
Thanneerkudiyante Thandu,M Mukundan,87,65.00
Aathmavil Ninnu Jeevithathilekku,Shoukath,112,85.00
Vasanthathinte Abhrajalakam,Radhalakshmi Padmarajan,128,100.00
Malayalam: Malayala bhashayude Bhavi- Varthamanangal,Many Authors,80,40.00
Kuttikkaalam Rabindranath Tagore(Mathrubhumi Edition),Rabindranath Tagore,79,55.00
